,Latitude_casas,Longitude_casas,,,Latitude_departamentos,Longitude_departamentos
,,,,,19.3506454,-99.2965819
,19.3904162,-99.2550003,,,19.3967542,-99.1647757
,19.3533712,-99.2018228,,,19.4062685,-99.1638378
,19.3610502,-99.1367707,,,19.3310877,-99.2560395
,19.3205819,-99.2099873,,,35.6961511,-105.9373359
,19.2933566,-99.1076677,,,19.4131592,-99.2305331
,19.3900741,-99.2421612,,,19.3888621,-99.24059
,19.2991252,-99.1567762,,,19.3795025,-99.2643705
,52.5200066,13.404954,,,19.4344442,-99.1536723
,-26.928572,-49.3653149,,,19.4433547,-99.2012755
,19.3295108,-99.2293924,,,19.3967542,-99.1647757
,37.33874,-121.8852525,,,19.3033068,-99.2244228
,19.3151272,-99.2123853,,,19.4015324,-99.1631844
,19.4173598,-99.2151756,,,19.3498899,-99.19752
,19.3319317,-99.2466874,,,,
,19.2971989,-99.1324714,,,19.4405567,-99.2033862
,19.3311449,-99.2145027,,,,
,,,,,19.4405567,-99.2033862
,19.3823251,-99.1553049,,,19.3594634,-99.270349
,19.4047087,-99.2379301,,,19.4346086,-99.1926592
,19.3481084,-99.2045371,,,19.3904162,-99.2550003
,19.3957537,-99.1816949,,,19.4075662,-99.2492685
,,,,,19.413879,-99.160909
,19.3518888,-99.1960738,,,19.4434105,-99.2042709
,19.326932,-99.2015762,,,,
,19.3904162,-99.2550003,,,19.4414275,-99.202481
,19.3904162,-99.2550003,,,19.3666022,-99.2638533
,19.3575076,-99.2878715,,,19.3792101,-99.2629804
,17.0297996,-97.9221766,,,19.3371513,-99.2321879
,,,,,21.1181016,-101.7082067
,,,,,19.384642,-99.2650527
,,,,,,
,25.8158217,-100.0912246,,,19.4132355,-99.1714882
,19.3559517,-99.1965238,,,19.2790911,-99.2114234
,,,,,19.3066886,-99.1838193
,19.5109537,-99.1442316,,,19.4116348,-99.1604889
,20.9299997,-89.0227126,,,19.3436827,-99.2122516
,19.4908853,-99.1331631,,,,
,,,,,19.3641184,-99.1671183
,,,,,19.371969,-99.2670166
,19.3562906,-99.1928292,,,19.3967542,-99.1647757
,,,,,19.4178619,-99.1642576
,,,,,19.4116055,-99.1645168
,19.3846808,-99.2585225,,,19.4016747,-99.1560125
,16.688624,-98.4072255,,,,
,19.3863106,-99.2420509,,,19.2988925,-99.1434026
,19.3995463,-99.2288964,,,19.3723335,-99.1905974
,19.5245668,-99.1526169,,,19.3702038,-99.147465
,19.2944741,-99.1661254,,,19.3611532,-99.1722988
,,,,,19.4699545,-99.1591143
,19.3692755,-99.268013,,,19.3641029,-99.2773112
,19.3271667,-99.2245237,,,19.4270375,-99.1738769
,19.3105979,-99.1959464,,,19.4116348,-99.1604889
,19.3295108,-99.2293924,,,19.421366,-99.1689584
,19.3582325,-99.1471924,,,19.3673542,-99.1438539
,19.3125794,-99.2362974,,,37.4117554,-1.5827678
,19.2780551,-99.1789964,,,19.4306406,-99.1695675
,19.3177924,-99.1991123,,,19.3795727,-99.1892707
,,,,,19.3702038,-99.147465
,19.5195798,-99.1592115,,,19.3928548,-99.2595099
,19.4050752,-99.2509806,,,41.4925374,-99.9018131
,19.3058149,-99.2004611,,,19.3809507,-99.1366219
,23.634501,-102.552784,,,19.3739692,-99.1861748
,20.5971162,-103.4223812,,,,
,19.3220301,-99.1963595,,,19.3712633,-99.1679701
,19.326932,-99.2015762,,,,
,19.3374306,-99.1682292,,,19.413879,-99.160909
,28.9226583,-13.6680226,,,19.3937744,-99.1883308
,19.3146948,-99.1279306,,,,
,,,,,19.4321195,-99.1897365
,19.3322552,-99.1089562,,,19.3904162,-99.2550003
,19.3244869,-99.1976344,,,19.374567,-99.1604641
,19.4441627,-99.2084993,,,19.4663759,-99.1580385
,19.2840579,-99.2113185,,,,
,19.3430097,-99.2532684,,,20.90526,-97.6679378
,19.341471,-99.1746778,,,19.4340199,-99.1956012
,,,,,19.3723335,-99.1905974
,19.292576,-99.1438857,,,19.3848211,-99.1535281
,,,,,19.3723335,-99.1905974
,19.4161834,-99.226349,,,19.3519823,-99.1414643
,19.4030692,-99.2501777,,,19.4292492,-99.203497
,19.3389475,-99.1774358,,,19.373462,-99.1673087
,19.339587,-99.1607984,,,19.373435,-99.167671
,19.4251408,-99.2171466,,,19.3880449,-99.185752
,19.4112255,-99.2359531,,,19.428275,-99.1701372
,19.2936452,-99.2466874,,,19.3705661,-99.1502482
,19.4074927,-99.2263889,,,19.4429917,-99.2042268
,31.8559384,-106.6391577,,,19.3927789,-99.2402484
,19.3904162,-99.2550003,,,19.3967542,-99.1647757
,19.3415372,-99.1587613,,,19.413879,-99.160909
,19.2775006,-99.146364,,,19.3967542,-99.1647757
,19.3376298,-99.170519,,,19.3940874,-99.2659706
,19.3393731,-99.1690287,,,,
,19.3096043,-99.2196672,,,19.4431346,-99.2007312
,19.3099829,-99.2120696,,,19.3868838,-99.2521114
,19.3898793,-99.1601107,,,19.3707277,-99.1475157
,19.4076589,-99.1605304,,,19.3907738,-99.1564427
,19.4032901,-99.2454599,,,19.3810737,-99.1851652
,19.3454882,-99.1614934,,,37.33874,-121.8852525
,19.3096043,-99.2196672,,,19.3822741,-99.2702429
,19.4102702,-99.2257895,,,19.4361447,-99.1581342
,19.3271529,-99.2024994,,,19.389996,-99.2393795
,19.3474675,-99.1713129,,,19.3846923,-99.1929255
,19.409833,-99.2426049,,,19.4096897,-99.1807312
,20.1589437,-103.044711,,,19.4332824,-99.1841343
,19.402567,-99.2344651,,,19.4066287,-99.2347894
,27.6648274,-81.5157535,,,19.9512469,-99.5310989
,19.3819544,-99.2666108,,,19.3712633,-99.1679701
,19.4004203,-99.165327,,,19.4431776,-99.2023662
,19.4014831,-99.2463193,,,19.353815,-99.2704772
,19.4019991,-99.2319339,,,19.3914716,-99.2394648
,19.3441831,-99.1167039,,,19.4327792,-99.1665558
,19.3205819,-99.2099873,,,19.4172516,-99.2725531
,19.2780601,-99.146999,,,19.3707277,-99.1475157
,19.3330532,-99.1245205,,,19.3914716,-99.2394648
,19.4078905,-99.1782514,,,19.4116348,-99.1604889
,19.3368666,-99.1382805,,,25.4383234,-100.973678
,,,,,19.4389929,-99.1635993
,19.4074927,-99.2263889,,,19.4260084,-99.2243023
,20.7281302,-101.951295,,,19.442115,-99.2040893
,27.40364009,83.00912405,,,19.3470575,-99.2965778
,19.3486172,-99.2295316,,,19.4016747,-99.1560125
,19.3434226,-99.1359301,,,19.3628505,-99.1511781
,19.2790911,-99.2114234,,,19.4259699,-99.193699
,19.3690348,-99.2844637,,,19.3914716,-99.2394648
,19.3205819,-99.2099873,,,19.4335459,-99.1997735
,19.3968243,-99.2283025,,,19.4209899,-99.1728388
,19.4249374,-99.2134442,,,19.4326705,-99.1949618
,26.6297378,-81.9597375,,,19.3684903,-99.2590586
,19.2807585,-99.1596095,,,,
,19.2435462,-99.1767455,,,,
,19.2991979,-99.1918115,,,19.4194815,-99.1894558
,19.4890883,-99.1400159,,,19.4482426,-99.1038958
,19.3043928,-99.2430153,,,19.40239,-99.15062
,19.3653436,-99.1646629,,,19.4416852,-99.2019515
,19.3804018,-99.2656772,,,19.3744681,-99.2733515
,19.3650003,-99.1201294,,,,
,19.3307445,-99.2026855,,,19.413879,-99.160909
,19.3673872,-99.2266457,,,37.9695167,-1.2193422
,19.4096856,-99.2426825,,,19.3692406,-99.1497664
,19.2792972,-99.1494434,,,19.3841409,-99.2662731
,19.4443632,-99.2055222,,,19.3640095,-99.2712338
,19.3017806,-99.2023662,,,19.3640095,-99.2712338
,,,,,19.4916104,-99.2368437
,19.3071612,-99.2221303,,,19.3382038,-99.2210097
,19.3811156,-99.156334,,,19.3848211,-99.1535281
,19.4955874,-99.1421561,,,19.3923907,-99.1580693
,19.3929784,-99.1647181,,,19.4095846,-99.1575732
,19.4249374,-99.2134442,,,19.4340199,-99.1956012
,19.2612037,-99.1163904,,,19.388648,-99.2566036
,38.3457685,-0.4909444,,,19.3563039,-99.2750889
,20.6315477,-100.9893631,,,19.3881467,-99.2569465
,,,,,19.3752246,-99.2563774
,19.409488,-99.235741,,,19.3705661,-99.1502482
,19.3394161,-99.2366224,,,19.3712392,-99.1808419
,,,,,19.4116348,-99.1604889
,19.4249374,-99.2134442,,,19.3702038,-99.147465
,27.40364009,83.00912405,,,19.3866016,-99.2549994
,19.4243115,-99.2243912,,,36.7178196,-4.425557
,,,,,19.4364755,-99.1583026
,19.3216588,-99.329869,,,,
,19.4717083,-99.1255809,,,,
,19.4946479,-99.1250406,,,28.1616644,-110.5625139
,19.3298957,-99.2070459,,,19.3967542,-99.1647757
,19.4015715,-99.246484,,,19.3144082,-99.2283288
,19.3058672,-99.2004866,,,19.3645474,-99.1836627
,27.6648274,-81.5157535,,,20.90526,-97.6679378
,19.2592904,-99.1194134,,,19.3709729,-99.2652242
,19.3771823,-99.2727093,,,19.3706074,-99.1819093
,19.3005452,-99.2412,,,19.4916104,-99.2368437
,19.319979,-99.210488,,,19.4116348,-99.1604889
,19.3579293,-99.2065898,,,19.4363779,-99.211605
,19.3957163,-99.251993,,,-35.1944557,-56.741207
,19.2712083,-99.2390679,,,19.3205819,-99.2099873
,19.2955454,-99.315796,,,19.3809145,-99.1809429
,37.9735346,-122.5310874,,,19.3626472,-99.2662499
,19.4249374,-99.2134442,,,,
,19.3205819,-99.2099873,,,19.4434105,-99.2042709
,19.3464151,-99.2009414,,,19.4489317,-99.1526495
,19.3585861,-99.185752,,,19.4148447,-99.1602414
,18.4410239,-69.9504218,,,19.3885388,-99.2131808
,19.3807814,-99.1138141,,,19.3049333,-99.1836755
,19.2583185,-99.1262606,,,19.4349025,-99.1889295
,,,,,19.4429917,-99.2042268
,19.3865465,-99.2575012,,,,
,19.2750242,-99.1833397,,,19.3673542,-99.1438539
,19.3843971,-99.1639281,,,19.3849677,-99.2539039
,19.2053962,-99.1276295,,,,
,19.393736,-99.2444726,,,19.3948016,-99.2648839
,19.3456318,-99.1852012,,,19.3904162,-99.2550003
,19.416918,-99.2280357,,,19.3619152,-99.1439967
,19.3153136,-99.2404532,,,19.3563182,-99.2882606
,19.4855507,-99.1220962,,,,
,19.3089186,-99.2201212,,,19.3914716,-99.2394648
,19.3445588,-99.1864442,,,,
,19.3537215,-99.1877948,,,19.4405567,-99.2033862
,19.4003804,-99.131088,,,19.3840305,-99.2637905
,19.402429,-99.2491336,,,19.4405567,-99.2033862
,19.4203337,-99.2281333,,,19.4116055,-99.1645168
,19.4260103,-99.2192071,,,19.4066287,-99.2347894
,19.3032206,-99.2294046,,,19.4340199,-99.1956012
,19.4239658,-99.2120824,,,19.4337367,-99.199019
,19.3946206,-99.2403962,,,19.3491303,-99.2613858
,19.4011824,-99.2342087,,,19.374567,-99.1604641
,19.318539,-99.0980183,,,,
,,,,,19.3867367,-99.2536799
,,,,,19.3832047,-99.1795226
,19.4249374,-99.2134442,,,20.90526,-97.6679378
,,,,,19.4206509,-99.1701942
,43.0410344,-87.9096783,,,19.4301322,-99.1691413
,19.3619294,-98.9714623,,,21.1110927,-101.7112061
,,,,,19.3875744,-99.2452895
,19.3787102,-99.1248516,,,19.421366,-99.1689584
,19.3424533,-99.2444619,,,19.3795727,-99.1892707
,19.2944741,-99.1661254,,,19.3834947,-99.1610798
,,,,,19.3795025,-99.2643705
,19.3870901,-99.2407996,,,,
,19.4393082,-99.208515,,,19.3705661,-99.1502482
,19.3904162,-99.2550003,,,19.4043712,-99.1716318
,19.4050752,-99.2509806,,,19.389996,-99.2393795
,19.3904162,-99.2550003,,,19.4202688,-99.1642694
,19.3178516,-99.2154103,,,19.3310877,-99.2560395
,19.3771375,-99.2721983,,,19.3847665,-99.265093
,19.3205819,-99.2099873,,,19.4432214,-99.1984803
,19.3481848,-99.2361176,,,19.4037937,-99.1631623
,19.4022576,-99.2473068,,,19.338743,-99.2244478
,19.3098602,-99.1160687,,,19.3982227,-99.1576693
,,,,,19.3880449,-99.185752
,19.2053962,-99.1276295,,,19.3622296,-99.2661372
,18.8029737,-96.0613009,,,37.33874,-121.8852525
,19.4697602,-99.1637325,,,19.4305916,-99.170106
,19.3517792,-99.2973793,,,19.374567,-99.1604641
,19.3175346,-99.2181728,,,19.4119974,-99.1590706
,25.7663873,-100.4278202,,,19.4424324,-99.2016306
,19.4235019,-99.2143189,,,19.3672746,-99.2523079
,19.3408916,-99.1666467,,,,
,19.4321229,-99.2115583,,,,
,19.3205819,-99.2099873,,,19.3491303,-99.2613858
,19.3426605,-99.2235926,,,19.3967542,-99.1647757
,19.3994655,-99.2539015,,,25.2233099,-104.1132013
,19.2854509,-99.2125426,,,41.8781136,-87.6297982
,19.2858985,-96.4370254,,,19.3205819,-99.2099873
,19.4739758,-99.1324714,,,19.2698028,-99.152578
,19.355924,-99.1982309,,,19.3570921,-99.2741902
,19.3446605,-99.2085543,,,19.4364755,-99.1583026
,19.34846,-99.2315285,,,19.3958497,-99.0814945
,19.2956906,-99.1571558,,,19.3418937,-99.2245237
,19.351327,-99.1820245,,,19.4423851,-99.2024423
,48.2080696,16.3713095,,,19.4431346,-99.2007312
,,,,,19.3702038,-99.147465
,19.301155,-99.1949348,,,,
,19.3110102,-99.1154133,,,19.4916104,-99.2368437
,19.3900741,-99.2421612,,,19.3904162,-99.2550003
,19.3205819,-99.2099873,,,19.4405567,-99.2033862
,,,,,,
,19.3414114,-99.2441075,,,20.6497141,-105.194471
,27.6648274,-81.5157535,,,19.3851808,-99.2601793
,19.3172552,-99.2037969,,,19.4286111,-99.189106
,19.3129383,-99.2064304,,,19.3879451,-99.2576524
,19.4030692,-99.2501777,,,19.4340199,-99.1956012
,19.4014831,-99.2463193,,,19.4080032,-99.1692169
,17.7235535,-92.0121516,,,19.421366,-99.1689584
,19.3731514,-99.2784577,,,19.3707756,-99.2664472
,,,,,19.4380167,-99.2124372
,19.3205819,-99.2099873,,,19.4219054,-97.0053753
,,,,,19.3902516,-99.2679819
,19.3542204,-99.1262461,,,19.4416852,-99.2019515
,19.405931,-99.2507755,,,19.4218877,-99.2283651
,,,,,19.4468405,-99.1535178
,19.3365206,-99.2348249,,,19.4326705,-99.1949618
,19.3225459,-99.2061963,,,19.3707277,-99.1475157
,19.3498991,-99.2986323,,,19.4434105,-99.2042709
