,Latitude_casas,Longitude_casas,,,Latitude_departamentos,Longitude_departamentos
,19.3062813,-99.1740249,,,19.3936201,-99.1769421
,19.373086,-99.1771235,,,19.3875744,-99.2452895
,,,,,19.389688,-99.2651309
,19.3295238,-99.2072946,,,19.3795727,-99.1892707
,,,,,19.4453761,-99.1536221
,19.3105979,-99.1959464,,,19.4264072,-99.1957304
,19.3462228,-99.1511319,,,19.4349025,-99.1889295
,19.3566413,-99.2878888,,,,
,19.3434365,-99.1776715,,,19.4301322,-99.1691413
,-26.928572,-49.3653149,,,19.3928098,-99.1497664
,19.2436122,-99.1678339,,,19.3702038,-99.147465
,19.326932,-99.2015762,,,19.429479,-99.19734
,,,,,,
,19.3087895,-99.2028937,,,19.3820896,-99.1480785
,19.3537215,-99.1877948,,,40.7127753,-74.0059728
,19.3026569,-99.1117223,,,19.4340199,-99.1956012
,19.2657088,-99.1653572,,,19.4202688,-99.1642694
,19.3635069,-99.2789641,,,19.3926697,-99.1807771
,19.4249374,-99.2134442,,,19.3368102,-99.2387409
,19.3151272,-99.2123853,,,19.3563039,-99.2750889
,,,,,19.3962206,-99.1729216
,19.4142356,-99.1452443,,,19.3772841,-99.1806294
,27.6648274,-81.5157535,,,31.9685988,-99.9018131
,19.4239658,-99.2120824,,,19.4434105,-99.2042709
,19.37827,-99.2768835,,,19.3690083,-99.1492978
,,,,,52.3675734,4.9041389
,19.30051,-99.1238034,,,,
,19.3017806,-99.2023662,,,19.308771,-99.1382202
,19.3423774,-99.1311674,,,19.3707368,-99.1893311
,19.4328677,-99.1795178,,,19.3855494,-99.1492088
,,,,,19.4202688,-99.1642694
,19.4340199,-99.1956012,,,19.4445835,-99.1746778
,19.4125497,-99.2253061,,,19.4336999,-99.1550421
,19.3960473,-99.2529911,,,20.67379,-103.28104
,19.4263184,-99.2210024,,,19.3915892,-99.1593162
,19.3692755,-99.268013,,,19.43768,-99.1724372
,19.3017806,-99.2023662,,,19.4746763,-99.1852802
,19.4174607,-99.1280796,,,19.4414275,-99.202481
,19.3100098,-99.213179,,,19.4149803,-99.1774462
,19.3950212,-99.2389801,,,19.4411005,-99.1956811
,19.34784,-99.1548722,,,19.4183695,-99.1446389
,19.4914272,-99.1319282,,,19.3809528,-99.1398379
,19.3441831,-99.1167039,,,19.3857313,-99.1558186
,19.3099829,-99.2120696,,,19.0557203,-98.219416
,19.3417188,-99.220715,,,19.3075075,-99.2306311
,,,,,19.3702038,-99.147465
,19.4249374,-99.2134442,,,19.3628505,-99.1511781
,19.3062052,-99.2017414,,,19.4219054,-97.0053753
,19.393236,-99.253944,,,19.3911708,-99.1892217
,19.4953297,-99.1430257,,,19.4450469,-99.2026082
,27.6648274,-81.5157535,,,19.3855147,-99.2533303
,19.3799033,-99.2583872,,,19.3795727,-99.1892707
,19.3101388,-99.1306684,,,,
,19.3220301,-99.1963595,,,19.4432609,-99.2028648
,19.4028502,-99.24407,,,19.4034331,-99.162286
,19.3395858,-99.2272414,,,19.3389676,-99.2486316
,19.392257,-99.2480141,,,19.3783814,-99.190239
,,,,,19.372069,-99.1727165
,,,,,19.3849677,-99.2539039
,19.301155,-99.1949348,,,19.4416852,-99.2019515
,,,,,19.442115,-99.2040893
,19.4248228,-99.1621758,,,19.3679678,-99.2199368
,19.3826175,-99.1636221,,,19.3938914,-99.1781607
,19.2330537,-99.1781383,,,19.3931878,-99.1641043
,19.3487312,-99.1503057,,,19.3967542,-99.1647757
,19.3390655,-99.2328295,,,19.3936201,-99.1769421
,19.3237976,-99.2089092,,,-30.2441534,-60.5820676
,19.2780551,-99.1789964,,,19.4062685,-99.1638378
,19.4157815,-99.2283192,,,19.3940388,-99.1880609
,19.4042359,-99.2576055,,,19.3765347,-99.1598672
,19.4064113,-99.2228381,,,19.3938914,-99.1781607
,19.3200457,-99.2016888,,,19.4075662,-99.2492685
,19.3519531,-99.1489817,,,19.3664815,-99.2527049
,19.3205819,-99.2099873,,,19.4473342,-99.1730529
,,,,,19.3416111,-99.229821
,,,,,19.4416852,-99.2019515
,19.3979783,-99.1683088,,,19.3730257,-99.2494583
,19.3191817,-99.2090274,,,19.3515618,-99.292134
,19.3931712,-99.2596336,,,29.4251905,-98.4945922
,19.2666761,-99.1420207,,,19.3667649,-99.1991457
,19.3570217,-99.260391,,,19.3864859,-99.1682634
,19.2894082,-99.1671118,,,19.3800154,-99.1582459
,19.416758,-99.1318014,,,39.6665445,16.2958447
,19.3538129,-99.1636051,,,,
,19.3481234,-99.2046453,,,,
,19.5977777,-90.2311111,,,19.4429917,-99.2042268
,19.3826424,-99.2666864,,,,
,18.9303051,-99.1999149,,,19.3439785,-99.1248628
,19.4032901,-99.2454599,,,37.9735346,-122.5310874
,19.4378604,-99.1982952,,,19.3895021,-99.1573808
,20.9771516,-89.6604593,,,19.3727898,-99.282137
,19.4024284,-99.2388327,,,19.4280388,-99.1933694
,17.0297996,-97.9221766,,,19.3572352,-99.1896909
,19.3428882,-99.2180251,,,,
,19.3483466,-99.2361003,,,19.4429917,-99.2042268
,19.4074927,-99.2263889,,,,
,19.3029835,-99.1067682,,,19.4434105,-99.2042709
,19.3904162,-99.2550003,,,19.3771823,-99.2727093
,19.2719088,-99.2106745,,,19.4414275,-99.202481
,20.2473245,-103.0126523,,,19.3604216,-99.2682941
,19.402541,-99.2449743,,,19.4172516,-99.2725531
,19.3155206,-99.2328081,,,19.3893186,-99.2559024
,19.4013483,-99.2495665,,,,
,,,,,19.3702038,-99.147465
,19.2792756,-99.119839,,,19.3390461,-99.2183936
,19.2764115,-99.1346915,,,19.3741118,-99.1410788
,19.3410539,-99.0841791,,,19.3712633,-99.1679701
,19.3913498,-99.244139,,,19.4202688,-99.1642694
,19.3973003,-99.249458,,,19.4306406,-99.1695675
,19.3812336,-99.1753415,,,19.4292476,-99.191259
,19.4766915,-99.1589797,,,19.4095846,-99.1575732
,19.3017806,-99.2023662,,,19.389688,-99.2651309
,19.3323138,-99.3256947,,,19.4174132,-99.1719222
,19.4249374,-99.2134442,,,19.3869412,-99.2689719
,19.4249374,-99.2134442,,,37.46914733,-4.572951495
,19.4193822,-99.2098349,,,19.4335459,-99.1997735
,19.2956434,-98.941094,,,19.4340199,-99.1956012
,19.3006043,-99.2039725,,,19.3370573,-99.2182826
,19.2053962,-99.1276295,,,19.3707277,-99.1475157
,6.2217395,-75.5606987,,,19.3655292,-99.1795226
,19.4125954,-99.2185392,,,19.3672331,-99.1910523
,19.4306575,-99.2083953,,,19.3672331,-99.1910523
,19.3458119,-99.146999,,,19.4126607,-99.1727952
,19.3547315,-99.1275216,,,19.4924633,-99.1693987
,19.4249374,-99.2134442,,,19.421366,-99.1689584
,,,,,19.3904162,-99.2550003
,39.5500507,-105.7820674,,,19.4358698,-99.1913413
,,,,,19.3771823,-99.2727093
,19.3055024,-99.2223482,,,19.4150657,-99.1788142
,16.9965515,-92.8963776,,,19.4132355,-99.1714882
,19.3022145,-99.1370791,,,19.3563182,-99.2882606
,19.3421766,-99.1636101,,,19.3720363,-99.1807648
,19.4088433,-99.2411915,,,,
,19.296549,-99.1265001,,,19.3702038,-99.147465
,19.405931,-99.2507755,,,19.4301322,-99.1691413
,19.3564057,-99.1861838,,,34.0961111,-118.1058333
,19.3503904,-99.1993782,,,19.3432249,-99.2217114
,19.3211737,-99.2094643,,,19.3602549,-99.1439382
,19.3642312,-99.2786798,,,19.3794242,-99.2641246
,19.4098993,-99.2427604,,,19.4034331,-99.162286
,19.3155975,-99.2045162,,,,
,19.4215237,-99.1070546,,,-31.6106578,-60.697294
,19.3099829,-99.2120696,,,19.3596275,-99.2536354
,19.2944522,-99.1457843,,,19.350537,-99.249632
,19.2881929,-99.2209421,,,19.4427355,-99.2026327
,19.2400831,-99.1169779,,,19.4429917,-99.2042268
,19.2780601,-99.146999,,,19.2915354,-99.1719095
,27.6648274,-81.5157535,,,35.20105,-91.8318334
,19.364836,-99.2257254,,,19.3849009,-99.1475444
,19.3205819,-99.2099873,,,19.4355942,-99.1573145
,19.3986515,-99.2474588,,,,
,19.4867941,-99.0820041,,,19.3990265,-99.1515173
,19.4015715,-99.246484,,,19.4414275,-99.202481
,19.4051899,-99.2247618,,,,
,19.2984764,-99.1965181,,,19.4038944,-99.1524336
,19.4249374,-99.2134442,,,19.3949739,-99.1665728
,19.2991979,-99.1918115,,,19.4364755,-99.1583026
,19.3322768,-99.1464016,,,19.4796304,-99.1857634
,19.3765705,-99.1498042,,,19.4364755,-99.1583026
,19.4072062,-99.2457127,,,19.3849677,-99.2539039
,,,,,19.426037,-99.224531
,19.3017806,-99.2023662,,,19.4430708,-99.2007518
,27.6648274,-81.5157535,,,19.3907576,-99.1534616
,19.4328677,-99.1795178,,,19.3967542,-99.1647757
,19.3205819,-99.2099873,,,19.4894054,-99.0940466
,17.4391926,-99.5450974,,,19.3622296,-99.2661372
,19.2574524,-99.0195615,,,,
,19.4239658,-99.2120824,,,19.3033068,-99.2244228
,19.3939172,-99.2468361,,,19.3721656,-99.1748076
,19.3470575,-99.2965778,,,19.3928098,-99.1497664
,19.4075662,-99.2492685,,,19.4431776,-99.2023662
,,,,,19.4416421,-99.2039005
,19.3071738,-99.224393,,,19.4429917,-99.2042268
,19.3058148,-99.3032743,,,19.4432609,-99.2028648
,19.3585861,-99.185752,,,,
,19.3402413,-99.1408714,,,19.4116348,-99.1604889
,,,,,19.4016747,-99.1560125
,19.3046448,-99.1813009,,,19.436912,-99.2101493
,19.3253053,-99.1006583,,,,
,19.4580524,-99.1069789,,,19.4432214,-99.1984803
,19.4131592,-99.2305331,,,21.1110927,-101.7112061
,19.4912935,-99.1376903,,,19.3956565,-99.1815194
,19.3362194,-99.219548,,,39.5500507,-105.7820674
,19.3205819,-99.2099873,,,,
,,,,,,
,19.3400521,-99.1581929,,,19.4306406,-99.1695675
,19.4103149,-99.2434031,,,19.4011887,-99.1350165
,19.2053962,-99.1276295,,,19.3498199,-99.303448
,19.3747373,-99.1646947,,,19.420899,-99.1755634
,19.3848416,-99.1740073,,,19.435417,-99.1588813
,19.2989627,-99.1244383,,,19.3902435,-99.150583
,19.2748471,-99.1794561,,,19.3572352,-99.1896909
,19.3971834,-99.2467692,,,19.4332824,-99.1841343
,19.4249374,-99.2134442,,,19.0224223,-98.6279013
,19.3151272,-99.2123853,,,19.3907738,-99.1564427
,19.3711585,-99.1899399,,,19.3142875,-99.2460531
,25.5381646,-103.5339269,,,19.3905618,-99.1549215
,19.3219518,-99.2165457,,,19.3843867,-99.1647371
,19.3102253,-99.2025405,,,19.3628335,-99.2740154
,43.1825979,-2.2667322,,,19.4434105,-99.2042709
,19.378487,-99.208552,,,19.4346589,-99.1849625
,19.3672746,-99.2523079,,,40.6331249,-89.3985283
,19.3333464,-99.1759118,,,19.4340199,-99.1956012
,19.3174798,-99.210005,,,19.3874199,-99.2531829
,19.3462228,-99.1511319,,,,
,,,,,19.4219054,-97.0053753
,19.3434007,-99.2343429,,,,
,19.3295268,-99.1972995,,,19.3802331,-99.1909526
,19.3635317,-99.2797436,,,,
,19.4049193,-99.2506164,,,19.4334382,-99.195136
,19.3205819,-99.2099873,,,,
,19.3898793,-99.1601107,,,19.3982227,-99.1576693
,37.4117554,-1.5827678,,,,
,19.3436854,-99.1869088,,,18.9125659,-97.1307689
,19.3790612,-99.2738992,,,19.4308098,-99.1807747
,19.3415452,-99.0091553,,,19.3849677,-99.2539039
,,,,,19.4328471,-99.1824872
,19.3071161,-99.2222261,,,19.3881406,-99.2629136
,,,,,19.4238996,-99.1670329
,,,,,,
,19.3935489,-99.2557459,,,,
,19.3047832,-99.2260098,,,,
,19.3904162,-99.2550003,,,,
,19.4855507,-99.1220962,,,,
,19.3205819,-99.2099873,,,,
,27.6648274,-81.5157535,,,,
,19.4676226,-99.1672191,,,,
,19.4050016,-99.1681271,,,,
,,,,,,
,19.4180535,-99.224212,,,,
,19.28557,-99.2138158,,,,
,19.2823921,-99.1193297,,,,
,19.2646898,-99.1290993,,,,
,,,,,,
,19.3545918,-99.1856748,,,,
,27.6648274,-81.5157535,,,,
,19.2928025,-99.1905974,,,,
,19.3500658,-99.199963,,,,
,19.3675807,-99.2796545,,,,
,19.4249374,-99.2134442,,,,
,19.4131592,-99.2305331,,,,
,19.354189,-99.1946465,,,,
,19.3244869,-99.1976344,,,,
,19.3883602,-99.2013277,,,,
,19.3559559,-99.1854275,,,,
,19.4458037,-99.0646931,,,,
,19.3838587,-99.172823,,,,
,19.3211737,-99.2094643,,,,
,19.4259699,-99.193699,,,,
,,,,,,
,19.3093364,-99.202445,,,,
,19.309877,-99.1929431,,,,
,19.426009,-99.2129848,,,,
,19.2435462,-99.1767455,,,,
,19.3683222,-99.2696955,,,,
,19.3267211,-99.1627908,,,,
,19.28557,-99.2138158,,,,
,19.3059119,-99.2445577,,,,
,19.4198756,-99.2180207,,,,
,19.3034837,-99.2252035,,,,
,19.3416111,-99.229821,,,,
,19.2707365,-99.1670809,,,,
,19.4249374,-99.2134442,,,,
,19.398161,-99.2494957,,,,
,19.3557507,-99.2993504,,,,
,19.3383775,-99.1728728,,,,
,19.2785716,-99.2250732,,,,
,19.4279114,-99.1723193,,,,
,19.3807458,-99.1553016,,,,
,,,,,,
,19.3618946,-99.2906967,,,,
,19.3797151,-99.1677132,,,,
,19.3918268,-99.2537603,,,,
,19.3367515,-99.1787637,,,,
,19.3927427,-99.162867,,,,
,19.3457298,-99.1226854,,,,
,19.3566413,-99.2878888,,,,
,19.3205819,-99.2099873,,,,
,,,,,,
,19.3131369,-99.2410397,,,,
,,,,,,
,,,,,,
,19.3295108,-99.2293924,,,,
,,,,,,
,19.3682222,-99.2980026,,,,
,,,,,,
,19.4014827,-99.2293959,,,,
,19.3295108,-99.2293924,,,,
,19.3668017,-99.1724994,,,,
,19.4572672,-99.2215147,,,,
,19.3205819,-99.2099873,,,,
,19.4015715,-99.246484,,,,
,19.5158444,-99.1327474,,,,
,19.3130702,-99.2120326,,,,
,19.3893136,-99.242616,,,,
,19.4153976,-99.1636991,,,,
,19.4137724,-99.2253071,,,,
,19.3161219,-99.215989,,,,
,19.4249374,-99.2134442,,,,
,19.3412128,-99.2175339,,,,
,38.2477536,-6.3036538,,,,
,19.3725281,-99.266432,,,,
,19.3909815,-99.2439166,,,,
,19.3466069,-99.1319853,,,,
,19.4235019,-99.2143189,,,,
,19.3168577,-99.2410097,,,,
,19.4034734,-99.2456812,,,,
,,,,,,
,,,,,,
,19.27809,-99.1787291,,,,
,19.2915354,-99.1719095,,,,
,19.3552105,-99.2951983,,,,
,19.3909815,-99.2439166,,,,